state_name,district_name,nss_region,nss_region_code,NSSO,nsso_district_name,state_nsso_region
Gujarat,Panchmahals,South Eastern,241,TRUE,Panch Mahals,Gujarat - South Eastern
Gujarat,Patan,Dry areas,243,TRUE,Patan,Gujarat - Dry areas
Gujarat,Porbandar,Saurashtra,245,TRUE,Porbandar,Gujarat - Saurashtra
Gujarat,Rajkot,Saurashtra,245,TRUE,Rajkot,Gujarat - Saurashtra
Gujarat,Sabarkantha,Plains Northern,242,TRUE,Sabar Kantha,Gujarat - Plains Northern
Gujarat,Surat,South Eastern,241,TRUE,Surat,Gujarat - South Eastern
Gujarat,Surendranagar,Saurashtra,245,TRUE,Surendranagar,Gujarat - Saurashtra
Gujarat,Tapi,South Eastern,241,TRUE,Tapi,Gujarat - South Eastern
Gujarat,Thedangs,South Eastern,241,TRUE,The Dangs,Gujarat - South Eastern
Gujarat,Vadodara,South Eastern,241,TRUE,Vadodara,Gujarat - South Eastern
Gujarat,Valsad,South Eastern,241,TRUE,Valsad,Gujarat - South Eastern
Haryana,Ambala,Eastern,61,TRUE,Ambala,Haryana - Eastern
Haryana,Bhiwani,Western,62,TRUE,Bhiwani,Haryana - Western
Haryana,Faridabad,Eastern,61,TRUE,Faridabad,Haryana - Eastern
Haryana,Fatehabad,Western,62,TRUE,Fatehabad,Haryana - Western
Haryana,Gurgaon,Eastern,61,TRUE,Gurgaon,Haryana - Eastern
Haryana,Hisar,Western,62,TRUE,Hisar,Haryana - Western
Haryana,Jhajjar,Eastern,61,TRUE,Jhajjar,Haryana - Eastern
Haryana,Jind,Western,62,TRUE,Jind,Haryana - Western
Haryana,Kaithal,Eastern,61,TRUE,Kaithal,Haryana - Eastern
Haryana,Karnal,Eastern,61,TRUE,Karnal,Haryana - Eastern
Haryana,Kurukshetra,Eastern,61,TRUE,Kurukshetra,Haryana - Eastern
Haryana,Mahendragarh,Western,62,TRUE,Mahendragarh,Haryana - Western
Haryana,Mewat,Eastern,61,TRUE,Mewat,Haryana - Eastern
Haryana,Palwal,Eastern,61,TRUE,Palwal,Haryana - Eastern
Haryana,Panchkula,Eastern,61,TRUE,Panchkula,Haryana - Eastern
Haryana,Panipat,Eastern,61,TRUE,Panipat,Haryana - Eastern
Haryana,Rewari,Western,62,TRUE,Rewari,Haryana - Western
Haryana,Rohtak,Eastern,61,TRUE,Rohtak,Haryana - Eastern
Haryana,Sirsa,Western,62,TRUE,Sirsa,Haryana - Western
Haryana,Sonipat,Eastern,61,TRUE,Sonipat,Haryana - Eastern
Haryana,Yamunanagar,Eastern,61,TRUE,Yamunanagar,Haryana - Eastern
Himachal Pradesh,Bilaspur,Trans Himalayan & Southern,22,TRUE,Bilaspur,Himachal Pradesh - Trans Himalayan & Southern
Himachal Pradesh,Chamba,Trans Himalayan & Southern,22,TRUE,Chamba,Himachal Pradesh - Trans Himalayan & Southern
Himachal Pradesh,Hamirpur,Central,21,TRUE,Hamirpur,Himachal Pradesh - Central
Himachal Pradesh,Kangra,Central,21,TRUE,Kangra,Himachal Pradesh - Central
Himachal Pradesh,Kinnaur,Trans Himalayan & Southern,22,TRUE,Kinnaur,Himachal Pradesh - Trans Himalayan & Southern
Himachal Pradesh,Kullu,Central,21,TRUE,Kullu,Himachal Pradesh - Central
Himachal Pradesh,Lahul&Spiti,Trans Himalayan & Southern,22,TRUE,Lahul & Spiti,Himachal Pradesh - Trans Himalayan & Southern
Himachal Pradesh,Mandi,Central,21,TRUE,Mandi,Himachal Pradesh - Central
Himachal Pradesh,Shimla,Trans Himalayan & Southern,22,TRUE,Shimla,Himachal Pradesh - Trans Himalayan & Southern
Himachal Pradesh,Sirmaur,Trans Himalayan & Southern,22,TRUE,Sirmaur,Himachal Pradesh - Trans Himalayan & Southern
Himachal Pradesh,Solan,Trans Himalayan & Southern,22,TRUE,Solan,Himachal Pradesh - Trans Himalayan & Southern
Himachal Pradesh,Una,Central,21,TRUE,Una,Himachal Pradesh - Central
Jammu & Kashmir,Anantnag,Jhelam Valley,13,TRUE,Anantnag,Jammu & Kashmir - Jhelam Valley
Jammu & Kashmir,Badgam,Jhelam Valley,13,TRUE,Badgam,Jammu & Kashmir - Jhelam Valley
Jammu & Kashmir,Bandipore,Jhelam Valley,13,TRUE,Bandipore,Jammu & Kashmir - Jhelam Valley
Jammu & Kashmir,Baramula,Jhelam Valley,13,TRUE,Baramula,Jammu & Kashmir - Jhelam Valley
Jammu & Kashmir,Doda,Outer Hills,12,TRUE,Doda,Jammu & Kashmir - Outer Hills
Jammu & Kashmir,Ganderbal,Jhelam Valley,13,TRUE,Ganderbal,Jammu & Kashmir - Jhelam Valley
Jammu & Kashmir,Jammu,Mountainous,11,TRUE,Jammu,Jammu & Kashmir - Mountainous
Jammu & Kashmir,Kargil,Ladakh,14,TRUE,Kargil,Jammu & Kashmir - Ladakh
Jammu & Kashmir,Kathua,Mountainous,11,TRUE,Kathua,Jammu & Kashmir - Mountainous
Jammu & Kashmir,Kishtwar,Outer Hills,12,TRUE,Kishtwar,Jammu & Kashmir - Outer Hills
Jammu & Kashmir,Kulgam,Jhelam Valley,13,TRUE,Kulgam,Jammu & Kashmir - Jhelam Valley
Jammu & Kashmir,Kupwara,Jhelam Valley,13,TRUE,Kupwara,Jammu & Kashmir - Jhelam Valley
Jammu & Kashmir,Leh,Ladakh,14,TRUE,Leh,Jammu & Kashmir - Ladakh
Jammu & Kashmir,Pulwama,Jhelam Valley,13,TRUE,Pulwama,Jammu & Kashmir - Jhelam Valley
Jammu & Kashmir,Punch,Outer Hills,12,TRUE,Punch,Jammu & Kashmir - Outer Hills
Jammu & Kashmir,Rajouri,Outer Hills,12,TRUE,Rajouri,Jammu & Kashmir - Outer Hills
Jammu & Kashmir,Ramban,Outer Hills,12,TRUE,Ramban,Jammu & Kashmir - Outer Hills
Jammu & Kashmir,Reasi,Outer Hills,12,TRUE,Reasi,Jammu & Kashmir - Outer Hills
Jammu & Kashmir,Samba,Mountainous,11,TRUE,Samba,Jammu & Kashmir - Mountainous
Jammu & Kashmir,Shupiyan,Jhelam Valley,13,TRUE,Shupiyan,Jammu & Kashmir - Jhelam Valley
Jammu & Kashmir,Srinagar,Jhelam Valley,13,TRUE,Srinagar,Jammu & Kashmir - Jhelam Valley
Jammu & Kashmir,Udhampur,Outer Hills,12,TRUE,Udhampur,Jammu & Kashmir - Outer Hills
Jharkhand,Bokaro,Hazaribagh Plateau,202,TRUE,Bokaro,Jharkhand - Hazaribagh Plateau
Jharkhand,Chatra,Hazaribagh Plateau,202,TRUE,Chatra,Jharkhand - Hazaribagh Plateau
Jharkhand,Deoghar,Hazaribagh Plateau,202,TRUE,Deoghar,Jharkhand - Hazaribagh Plateau
