"state_name","district_name","reg_code"
"Nagaland","Dimapur",265
"Nagaland","Kiphire",269
"Nagaland","Kohima",270
"Nagaland","Longleng",268
"Nagaland","Mokokchung",262
"Nagaland","Mon",261
"Nagaland","Peren",271
"Nagaland","Phek",266
"Nagaland","Tuensang",267
"Nagaland","Wokha",264
"Nagaland","Zunheboto",263
"Odisha","Anugul",384
"Odisha","Balangir",393
"Odisha","Baleshwar",377
"Odisha","Bargarh",370
"Odisha","Baudh",391
"Odisha","Bhadrak",378
"Odisha","Cuttack",381
"Odisha","Debagarh",373
"Odisha","Dhenkanal",383
"Odisha","Gajapati",389
"Odisha","Ganjam",388
"Odisha","Jagatsinghapur",380
"Odisha","Jajapur",382
"Odisha","Jharsuguda",371
"Odisha","Kalahandi",395
"Odisha","Kandhamal",390
"Odisha","Kendrapara",379
"Odisha","Kendujhar",375
"Odisha","Khordha",386
"Odisha","Koraput",398
"Odisha","Malkangiri",399
